start_year fit_order r2 2018 2019 2020
1990 1 0.69 159738 156204 152671
1991 1 0.722 157368 153571 149775
1991 3 0.957 139813 136188 133468
1992 1 0.737 155507 151495 147484
1992 3 0.98 143046 141778 141949
1993 1 0.785 152517 148147 143778
1993 3 0.986 144746 144778 146558
1994 1 0.844 149102 144305 139509
1994 4 0.987 144106 143060 143261
1995 4 0.987 143613 141739 140721
