year month emi[t]
2007 May 55197.89503892615
2007 June 53944.835119059964
2007 July 52127.418883174745
2007 August 51052.96918973427
2007 September 54142.6950762289
2007 October 57493.836652039005
2007 November 56388.695442274504
2007 December 54336.27852602833
2008 January 53989.6486061461
2008 February 54912.03686157921
2008 March 57582.86660396307
2008 April 57859.12034109514
2008 May 55855.50638589738
2008 June 54587.51788186765
2008 July 52748.44948808683
2008 August 51661.19911973551
2008 September 54787.7350838709
2008 October 58178.801166294994
2008 November 57060.49363199884
2008 December 54983.624829464476
2009 January 53439.759832284064
2009 February 54352.753491532545
2009 March 56996.380625080266
2009 April 57269.82069639476
2009 May 55286.613705301424
2009 June 54031.539762891436
2009 July 52211.20242386301
2009 August 51135.025785150036
2009 September 54229.71773710643
2009 October 57586.245547504484
2009 November 56479.328062499466
2009 December 54423.612330392156
2010 January 53748.72172872894
2010 February 54666.99385953659
2010 March 57325.90511964546
2010 April 57600.92608434837
2010 May 55606.25318482031
2010 June 54343.9230341743
2010 July 52513.06141737591
2010 August 51430.66286493708
2010 September 54543.246774069
2010 October 57919.180345290544
2010 November 56805.8632184
2010 December 54738.26236867359
2011 January 50848.98305633366
2011 February 51717.71448879829
2011 March 54233.177727085946
2011 April 54493.36133563565
2011 May 52606.30085849658
2011 June 51412.073305222715
2011 July 49679.98650693683
2011 August 48655.983258432716
2011 September 51600.643547391155
2011 October 54794.44580800562
2011 November 53741.19203934298
2011 December 51785.13806831795
2012 January 51649.22769471824
2012 February 52531.63093789058
2012 March 55086.681712614576
2012 April 55350.96000556548
2012 May 53434.20158879476
2012 June 52221.179673488914
2012 July 50461.833860563354
2012 August 49421.715184374174
2012 September 52412.71757235733
2012 October 55656.78284673327
2012 November 54586.9533152811
2012 December 52600.11560761832
2013 January 50797.36748036878
2013 February 51665.21708451452
2013 March 54178.12693675474
2013 April 54438.046439200356
2013 May 52552.90147162615
2013 June 51359.88614993078
2013 July 49629.55755116711
2013 August 48606.593743656405
2013 September 51548.26497899567
2013 October 54738.82528798612
2013 November 53686.64065181421
2013 December 51732.57222398522
2014 January 49175.744266984075
2014 February 50015.88918615076
2014 March 52448.578484616984
2014 April 52700.200480327825
2014 May 50875.23569514585
2014 June 49720.30544430248
2014 July 48045.21476753591
2014 August 47054.9074132824
2014 September 49902.67058609824
2014 October 52991.37745430236
2014 November 51972.7820987451
2014 December 50081.0941225081
2015 January 48672.91914427742
2015 February 49504.47352804157
2015 March 51912.28842321728
2015 April 52161.337567967654
2015 May 50355.033164153014
2015 June 49211.912148812924
2015 July 47553.949381092665
2015 August 46573.76798272132
2015 September 49392.41259539832
2015 October 52449.537238805235
2015 November 51441.35708574833
2015 December 49569.01173976436
2016 January 48666.253825806365
2016 February 49497.69433567736
2016 March 51905.179502261126
2016 April 52154.19454197129
2016 May 50348.137495297306
2016 June 49205.17302009806
2016 July 47547.437295465716
2016 August 46567.390124120284
2016 September 49385.648748770865
2016 October 52442.35474645626
2016 November 51434.31265460289
2016 December 49562.22370947258
2017 January 49117.95107877773
2017 February 49957.10862796847
2017 March 52386.93893827764
2017 April 52638.26521833493
2017 May 50815.4452005555
2017 June 49661.872267274826
2017 July 47988.7502202095
2017 August 46999.60671248562
2017 September 49844.023086682195
2017 October 52929.09999015454
2017 November 51911.70172625226
2017 December 50022.236933026885
2018 January 48658.45052613293
2018 February 49489.7577202266
2018 March 51896.856863092944
2018 April 52145.83197495114
2018 May 50340.06451712477
2018 June 49197.28330843188
2018 July 47539.81339034147
2018 August 46559.92336283127
2018 September 49377.73009906068
2018 October 52433.94597492575
2018 November 51426.065515700895
2018 December 49554.276747179756
2019 January 47762.61546674883
2019 February 48578.61773186232
2019 March 50941.400547754085
2019 April 51185.79185902462
2019 May 49413.269804213014
2019 June 48291.52797225496
2019 July 46664.573198943
2019 August 45702.72361109935
2019 September 48468.65261514476
2019 October 51468.60148494937
2019 November 50479.27678821344
2019 December 48641.94891979232
2020 January 47550.219403762654
2020 February 48362.5929800616
2020 March 50714.86871289514
2020 April 50958.17323794522
2020 May 49193.53342957928
2020 June 48076.77988284108
2020 July 46457.06003134258
2020 August 45499.4877022639
2020 September 48253.116868345714
2020 October 51239.72523485335
2020 November 50254.79997622499
2020 December 48425.64253988456
