year month emi[t]
2012 July 15293.55367922622
2012 August 14978.323145769595
2012 September 15884.81131862736
2012 October 16867.995690199627
2012 November 16543.760637385345
2012 December 15941.606359401438
2013 January 15207.493082313003
2013 February 15467.30609047007
2013 March 16219.610020574084
2013 April 16297.42358122617
2013 May 15733.05714895739
2013 June 15375.89745443607
2013 July 14857.879267647231
2013 August 14551.628849607601
2013 September 15432.293482064186
2013 October 16387.469433779122
2013 November 16072.471012215563
2013 December 15487.470576709533
2014 January 13867.357647772973
2014 February 14104.275059877415
2014 March 14790.283437596881
2014 April 14861.239805590509
2014 May 14346.607241346825
2014 June 14020.92166026595
2014 July 13548.552978237323
2014 August 13269.290376982231
2014 September 14072.347880274714
2014 October 14943.350514784433
2014 November 14656.110813496241
2014 December 14122.662583774527
2015 January 14611.516069754776
2015 February 14861.14708541728
2015 March 15583.968454104208
2015 April 15658.732525063091
2015 May 15116.483441029892
2015 June 14773.320725931471
2015 July 14275.603513783371
2015 August 13981.354956158872
2015 September 14827.506610448949
2015 October 15745.249508136552
2015 November 15442.59577857633
2015 December 14880.521331595233
2016 January 13651.54764117967
2016 February 13884.778038816972
2016 March 14560.110448101857
2016 April 14629.962561439803
2016 May 14123.338938762605
2016 June 13802.721821998124
2016 July 13337.704352145049
2016 August 13062.787760082834
2016 September 13853.347724227462
2016 October 14710.795427143814
2016 November 14428.025878238172
2016 December 13902.879407863662
2017 January 13701.131107854591
2017 February 13935.208616160426
2017 March 14612.993884483012
2017 April 14683.099706046933
2017 May 14174.635987567266
2017 June 13852.854364876985
2017 July 13386.147915955327
2017 August 13110.232805773467
2017 September 13903.664144260918
2017 October 14764.226162910585
2017 November 14480.429573344545
2017 December 13953.37573076597
2018 January 13937.26220734745
2018 February 14175.373906623921
2018 March 14864.840413478509
2018 April 14936.15446847925
2018 May 14418.927670809135
2018 June 14091.600327275492
2018 July 13616.850461641976
2018 August 13336.180113529681
2018 September 14143.285783928439
2018 October 15018.67909307857
2018 November 14729.991432826539
2018 December 14193.854120981061
2019 January 14350.105530694866
2019 February 14595.270467816383
2019 March 15305.160041970123
2019 April 15378.586529888453
2019 May 14846.03867224991
2019 June 14509.015385114397
2019 July 14020.20269212132
2019 August 13731.218452976776
2019 September 14562.231845157814
2019 October 15463.555661864524
2019 November 15166.316625359774
2019 December 14614.298094785687
2020 January 14928.850256474268
2020 February 15183.902780415383
2020 March 15922.422446943598
2020 April 15998.810250548724
2020 May 15444.78455337972
2020 June 15094.169000356178
2020 July 14585.642322169148
2020 August 14285.003248578925
2020 September 15149.531698663064
2020 October 16087.20621704389
2020 November 15777.979427257122
2020 December 15203.697798170004
