year month emi[t]
2013 September 11129.662167662389
2013 October 11818.528386129401
2013 November 11591.353726742325
2013 December 11169.455502561676
2014 January 9813.380898682808
2014 February 9981.037987045598
2014 March 10466.499001410491
2014 April 10516.712018482303
2014 May 10152.526893668697
2014 June 9922.05208069171
2014 July 9587.775434837686
2014 August 9390.152329810659
2014 September 9958.444383965616
2014 October 10574.818521945159
2014 November 10371.550338520352
2014 December 9994.050110938933
2015 January 10415.941945340493
2015 February 10593.893511384978
2015 March 11109.162794678521
2015 April 11162.458990568624
2015 May 10775.912176929274
2015 June 10531.28575341465
2015 July 10176.483858650123
2015 August 9966.726303096997
2015 September 10569.91261627382
2015 October 11224.133348566596
2015 November 11008.384095608139
2015 December 10607.704605487803
2016 January 9822.07832644382
2016 February 9989.884006350107
2016 March 10475.775276316694
2016 April 10526.032796306834
2016 May 10161.524900590171
2016 June 9930.845821819643
2016 July 9596.27291242408
2016 August 9398.474657497376
2016 September 9967.27037895509
2016 October 10584.190798546872
2016 November 10380.742462088192
2016 December 10002.907662661142
2017 January 9876.29500229984
2017 February 10045.026949117457
2017 March 10533.600279703955
2017 April 10584.135215082171
2017 May 10217.615280184777
2017 June 9985.662881000299
2017 July 9649.243169901874
2017 August 9450.353092703364
2017 September 10022.288497253967
2017 October 10642.614242409882
2017 November 10438.04289591762
2017 December 10058.122494424813
2018 January 10081.294187470578
2018 February 10253.528450855472
2018 March 10752.242946184728
2018 April 10803.82681950706
2018 May 10429.699144259128
2018 June 10192.932181230603
2018 July 9849.529510769938
2018 August 9646.511134066934
2018 September 10230.318024015236
2018 October 10863.519677825943
2018 November 10654.702107488563
2018 December 10266.89581632583
2019 January 10435.206341409274
2019 February 10613.487030779075
2019 March 11129.709310124968
2019 April 11183.10407789959
2019 May 10795.842341792724
2019 June 10550.763479090534
2019 July 10195.305374425592
2019 August 9985.15987002926
2019 September 10589.461782745835
2019 October 11244.892503282537
2019 November 11028.74421977242
2019 December 10627.323668648207
2020 January 10935.836786082778
2020 February 11122.670515792732
2020 March 11663.658629258625
2020 April 11719.615018285353
2020 May 11313.774347674538
2020 June 11056.93779317398
2020 July 10684.42653755264
2020 August 10464.199273977805
2020 September 11097.492653214771
2020 October 11784.36775178671
2020 November 11557.849724953005
2020 December 11137.170968247085
