year month emi[t]
2007 February 17324.14341364051
2007 March 18166.760809296593
2007 April 18253.915823646075
2007 May 17621.797667240477
2007 June 17221.761246336406
2007 July 16641.555404005972
2007 August 16298.539876184044
2007 September 17284.927570509113
2007 October 18354.771606437625
2007 November 18001.957884492873
2007 December 17346.728629801073
2008 January 16262.15780380005
2008 February 16539.989272488612
2008 March 17344.46672064864
2008 April 17427.676780041766
2008 May 16824.170605089315
2008 June 16442.24129681839
2008 July 15888.297694595347
2008 August 15560.808305076405
2008 September 16502.548481956124
2008 October 17523.967460949385
2008 November 17187.123379437206
2008 December 16561.55219909879
2009 January 16162.34059547742
2009 February 16438.46673318081
2009 March 17238.00629462232
2009 April 17320.705610242494
2009 May 16720.903759298948
2009 June 16341.318735088485
2009 July 15790.775241547772
2009 August 15465.295983587721
2009 September 16401.255754413367
2009 October 17416.405258454964
2009 November 17081.62872764929
2009 December 16459.89730643644
2010 January 15786.5629455788
2010 February 16056.269095379519
2010 March 16837.219202179567
2010 April 16917.995742178948
2010 May 16332.139404177724
2010 June 15961.379807663941
2010 July 15423.636560408571
2010 August 15105.72476026346
2010 September 16019.923279307359
2010 October 17011.470354438927
2010 November 16684.477444900494
2010 December 16077.201403522717
2011 January 14383.432123050141
2011 February 14629.166429637393
2011 March 15340.704646750897
2011 April 15414.301659870294
2011 May 14880.51701652845
2011 June 14542.711028688713
2011 July 14052.763120256095
2011 August 13763.107745981957
2011 September 14596.051078295055
2011 October 15499.468123609404
2011 November 15201.538781087009
2011 December 14648.238246244615
2012 January 14207.126321053578
2012 February 14449.848524296489
2012 March 15152.665018044792
2012 April 15225.35991125904
2012 May 14698.118165942698
2012 June 14364.45285573093
2012 July 13880.51051385529
2012 August 13594.405608108213
2012 September 14417.139086405605
2012 October 15309.482441841983
2012 November 15015.204986520246
2012 December 14468.686566941164
2013 January 13803.711984811558
2013 February 14039.542040107046
2013 March 14722.4019118814
2013 April 14793.032618332503
2013 May 14280.762013127072
2013 June 13956.571199488659
2013 July 13486.370502067737
2013 August 13208.38960521868
2013 September 14007.761393576033
2013 October 14874.766471988725
2013 November 14588.845086826912
2013 December 14057.845172573696
2014 January 12816.513291751045
2014 February 13035.477512506646
2014 March 13669.501362948415
2014 April 13735.080780211858
2014 May 13259.446180778537
2014 June 12958.4404892202
2014 July 12521.86708817295
2014 August 12263.766523394508
2014 September 13005.969719303386
2014 October 13810.969282009317
2014 November 13545.496108028698
2014 December 13052.471661674464
2015 January 11958.394180788522
2015 February 12162.697832154448
2015 March 12754.271136922434
2015 April 12815.459738216001
2015 May 12371.67086236738
2015 June 12090.818759429823
2015 July 11683.47577154164
2015 August 11442.656117892839
2015 September 12135.165708986686
2015 October 12886.267187763735
2015 November 12638.568551900846
2015 December 12178.554152035667
2016 January 11901.657689412958
2016 February 12104.99202398112
2016 March 12693.758614637112
2016 April 12754.656907173745
2016 May 12312.973583571227
2016 June 12033.453980856963
2016 July 11628.043628034142
2016 August 11388.366541020605
2016 September 12077.590526718895
2016 October 12825.12841142733
2016 November 12578.604979467651
2016 December 12120.773113698273
2017 January 11973.106652047802
2017 February 12177.66165920226
2017 March 12769.962779520776
2017 April 12831.226661451887
2017 May 12386.891789963518
2017 June 12105.694153300436
2017 July 11697.850009327969
2017 August 11456.734074073174
2017 September 12150.09566312776
2017 October 12902.121225753546
2017 November 12654.117845038967
2017 December 12193.537487191927
2018 January 11933.927584937454
2018 February 12137.81323579317
2018 March 12728.176195363865
2018 April 12789.239606204941
2018 May 12346.358712055573
2018 June 12066.081225976484
2018 July 11659.571652350012
2018 August 11419.24471010123
2018 September 12110.337442707882
2018 October 12859.902185360786
2018 November 12612.710335135242
2018 December 12153.637114013382
2019 January 11877.760084163077
2019 February 12080.686139163126
2019 March 12668.270532184557
2019 April 12729.04654567457
2019 May 12288.250087917833
2019 June 12009.291738879283
2019 July 11604.695418591156
2019 August 11365.499584572988
2019 September 12053.33966198146
2019 October 12799.376548615148
2019 November 12553.348116580317
2019 December 12096.435541676505
2020 January 11698.202907302584
2020 February 11898.061310717736
2020 March 12476.763137158376
2020 April 12536.620394138257
2020 May 12102.487496426857
2020 June 11827.74618606059
2020 July 11429.26618505525
2020 August 11193.686296162152
2020 September 11871.128232712766
2020 October 12605.887212043348
2020 November 12363.578014137727
2020 December 11913.572628084376
