year month emi[t]
2007 October 17668.668404370215
2007 November 17329.042894708895
2007 December 16698.306175221107
2008 January 16258.012300848539
2008 February 16535.77294553039
2008 March 17340.045318590546
2008 April 17423.234166312315
2008 May 16819.881835435157
2008 June 16438.04988749573
2008 July 15884.247494998093
2008 August 15556.841588141615
2008 September 16498.34169929759
2008 October 17519.5003010738
2008 November 17182.742086895523
2008 December 16557.330375380727
2009 January 16124.624647055842
2009 February 16400.10642516874
2009 March 17197.78020530944
2009 April 17280.28653631182
2009 May 16681.884364798356
2009 June 16303.185128701942
2009 July 15753.92636678061
2009 August 15429.206637357467
2009 September 16362.982280814147
2009 October 17375.762862724176
2009 November 17041.76755628969
2009 December 16421.486988687797
2010 January 16028.70908856993
2010 February 16302.55219358632
2010 March 17095.481098867207
2010 April 17177.496650022622
2010 May 16582.654008094258
2010 June 16206.20742280513
2010 July 15660.215866295155
2010 August 15337.427696513292
2010 September 16265.64887812648
2010 October 17272.405045995012
2010 November 16940.39647395277
2010 December 16323.805577171857
2011 January 14956.730795932463
2011 February 15212.259646036375
2011 March 15952.158543138246
2011 April 16028.689005631095
2011 May 15473.628631642014
2011 June 15122.358282663472
2011 July 14612.881899852631
2011 August 14311.681364434478
2011 September 15177.824374190071
2011 October 16117.250056991435
2011 November 15807.445767292345
2011 December 15232.091632195401
2012 January 15056.46671988349
2012 February 15313.699512266567
2012 March 16058.532275006568
2012 April 16135.57306535724
2012 May 15576.81138390975
2012 June 15223.198659896852
2012 July 14710.324937221829
2012 August 14407.115907159738
2012 September 15279.03461579835
2012 October 16224.724668115743
2012 November 15912.854511383362
2012 December 15333.663744000534
2013 January 14747.260970323821
2013 February 14999.211125029686
2013 March 15728.747697967368
2013 April 15804.20634718425
2013 May 15256.91962382298
2013 June 14910.568835124417
2013 July 14408.227696673805
2013 August 14111.245491082409
2013 September 14965.258121032344
2013 October 15891.527096219354
2013 November 15586.061632392139
2013 December 15018.765363147453
2014 January 14068.130045620603
2014 February 14308.477561579595
2014 March 15004.418007861555
2014 April 15076.401686212823
2014 May 14554.318242244386
2014 June 14223.917366677075
2014 July 13744.709703829758
2014 August 13461.403922647583
2014 September 14276.088138442969
2014 October 15159.701198954803
2014 November 14868.302824828608
2014 December 14327.131301100266
2015 January 13633.502510684863
2015 February 13866.424615587059
2015 March 14540.864345025437
2015 April 14610.624125205733
2015 May 14104.670176738613
2015 June 13784.47686377008
2015 July 13320.074071545243
2015 August 13045.52087460198
2015 September 13835.035846772664
2015 October 14691.350142979514
2015 November 14408.954369527328
2015 December 13884.50205756151
2016 January 13629.682145219746
2016 February 13862.538980939285
2016 March 14536.789719599348
2016 April 14606.52995176879
2016 May 14100.717781174975
2016 June 13780.614192433512
2016 July 13316.3415346615
2016 August 13041.8652727209
2016 September 13831.159007852053
2016 October 14687.233348584368
2016 November 14404.916707773229
2016 December 13880.611357272317
2017 January 13743.967971686858
2017 February 13978.777328062066
2017 March 14658.681705750008
2017 April 14729.006714584568
2017 May 14218.953273993588
2017 June 13896.165594544458
2017 July 13427.999978460271
2017 August 13151.222214099638
2017 September 13947.134231732443
2017 October 14810.386814958272
2017 November 14525.702929608577
2017 December 13997.001242519276
2018 January 13660.001215825885
2018 February 13893.376038888642
2018 March 14569.126640534054
2018 April 14639.022009044953
2018 May 14132.084665116186
2018 June 13811.269009636488
2018 July 13345.96358269631
2018 August 13070.876751479269
2018 September 13861.926261413493
2018 October 14719.904929635199
2018 November 14436.960278715324
2018 December 13911.48861701422
2019 January 13529.458515039127
2019 February 13760.603076243418
2019 March 14429.895822783014
2019 April 14499.123231603886
2019 May 13997.030467771456
2019 June 13679.280708220995
2019 July 13218.422003222038
2019 August 12945.964057415078
2019 September 13729.453850636888
2019 October 14579.233189239403
2019 November 14298.992517500837
2019 December 13778.54256032388
2020 January 13449.474693386468
2020 February 13679.252767872995
2020 March 14344.588771309152
2020 April 14413.406919647467
2020 May 13914.282441502954
2020 June 13598.411163642637
2020 July 13140.276975698574
2020 August 12869.429754202645
2020 September 13648.28769110751
2020 October 14493.043281051692
2020 November 14214.459343755474
2020 December 13697.086196822453
